Label,Coin,How much,price per coin,buy price,fee,,total coin,Value-fees,total value,Current value,% Change,,,Total total cost,Total total Current,% change,value change
Convert from ATOM,USDC,1.8502830,1.0000000,1.8500000,0.0000000,,1.8502830,1.8500000,1.8500000,1.8500000,0.0000000,,No fees,381.7500000,423.9500000,11.0543549,42.2000000
,,,,,,,,,,,,,Fees,389.8700000,423.9500000,8.7413753,34.0800000
purchase,ETH,0.0075983,1778.0246160,13.5100000,1.5000000,,0.0365510,56.3900000,59.3800000,64.8800000,15.0558610,,,,,,
Convert from BTC,ETH,0.0151629,1607.2112807,24.3700000,0.0000000,,,,,,,,,,,,
purchase,ETH,0.0137898,1342.2984268,18.5100000,1.4900000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
purchase,BAT,27.5134849,0.4910319,13.5100000,1.4900000,,43.2665957,22.5200000,25.0000000,29.8300000,32.4600355,,,,,,
purchase,BAT,15.7531108,0.5719505,9.0100000,0.9900000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Signup,BTC,0.0001045,47856.0490046,5.0000000,0.0000000,,0.0015252,82.0300000,82.0300000,89.1500000,8.6797513,,,,,,
NiceHash,BTC,0.0009033,50459.4265471,45.5800000,0.0000000,,,,,,,,,,,,
Convert to ETH,BTC,-0.0004960,49133.0645161,-24.3700000,0.0000000,,,,,,,,,,,,
NiceHash,BTC,0.0005114,51312.1357894,26.2400000,0.0000000,,,,,,,,,,,,
NiceHash,BTC,0.0005020,58924.3027888,29.5800000,0.0000000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
purchase ,ALGO,6.9127720,1.3033845,9.0100000,0.9900000,,14.2278693,16.1600000,17.1500000,16.5000000,2.1039604,,,,,,
Convert from CMP,ALGO,7.2915650,0.9805851,7.1500000,0.0000000,,,,,,,,,,,,
stake rewards,ALGO,0.0235323,0.0000000,0.0000000,0.0000000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Earn,XLM,18.0849980,0.5529445,10.0000000,0.0000000,,30.9688167,16.2800000,16.2800000,12.7700000,-21.5601966,,,,,,
Convert from CGLD,XLM,12.8838187,0.4874331,6.2800000,0.0000000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Earn,NMR,0.0744239,40.3096317,3.0000000,0.0000000,,0.0744239,3.0000000,3.0000000,3.1500000,5.0000000,,,,,,
,,,,,,,,,,,,,,,,,
Earn,NU,3.7644581,0.7942710,2.9900000,0.0000000,,3.7644581,2.9900000,2.9900000,2.7400000,-8.3612040,,,,,,
,,,,,,,,,,,,,,,,,
Purchase,VET,500.0000000,0.0906600,45.3300000,0.0000000,,1000.0000000,101.8000000,101.8000000,130.4000000,28.0943026,,,,,,
Purchase,VET,500.0000000,0.1129400,56.4700000,0.0000000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NiceHash to BTC to CRO,CRO,182.1500000,0.2279440,41.5200000,1.6600000,,382.1500000,78.7300000,80.3900000,72.6800000,-7.6844913,,,,,,
Purchase,CRO,200.0000000,0.1860500,37.2100000,0.0000000,,,,,,,,,,,,
